"purchase_id","transaction","product_id","user_id","date","quantity","sale_price"
"1","RR8995","00000022","198501180950465013","2005-09-23 08:28:13","6","2.20"
"2","RR8995","00000035","198501180950465013","2013-12-23 10:18:57","17","3.50"
"3","RR8995","00000059","198501180950465013","1990-12-10 22:54:17","2","5.90"
"4","RR8995","00000062","198501180950465013","2008-07-17 13:29:32","16","6.20"
"5","RR8995","00000008","198501180950465013","1996-07-08 18:45:35","6","0.80"
"6","RR8995","00000047","198501180950465013","2003-01-28 20:03:48","16","4.70"
"7","RR8995","00000004","198501180950465013","2008-02-01 17:23:05","13","0.40"
"8","RR8995","00000010","198501180950465013","2006-03-16 08:45:19","5","1.00"
"9","RR8995","00000002","198501180950465013","2011-07-21 16:07:01","7","0.20"
"10","RR8995","00000044","198501180950465013","1992-04-15 08:07:17","4","4.40"
"11","RR8995","00000057","198501180950465013","1999-03-16 19:15:10","19","5.70"
"12","RR8995","00000059","198501180950465013","1999-06-02 08:48:18","4","5.90"
"13","RV9147","00000061","198501180950465013","2013-08-17 06:58:08","3","6.10"
"14","RV9147","00000006","198501180950465013","2000-04-27 19:30:30","12","0.60"
"15","RV9147","00000049","198501180950465013","2006-07-19 06:01:42","5","4.90"
"16","RV9147","00000054","198501180950465013","2014-05-14 19:18:48","15","5.40"
"17","FM3371","00000029","198501180950465013","2001-05-15 21:42:29","14","2.90"
"18","FM3371","00000013","198501180950465013","2014-04-27 17:48:36","15","1.30"
"19","FM3371","00000054","198501180950465013","1997-12-18 10:18:09","2","5.40"
"20","PY8179","00000027","198501180950465013","1993-01-24 16:25:22","11","2.70"
"21","PY8179","00000008","198501180950465013","2011-03-09 20:30:16","11","0.80"
"22","PY8179","00000020","198501180950465013","2011-03-04 08:09:46","9","2.00"
"23","PY8179","00000029","198501180950465013","2012-07-01 20:20:50","6","2.90"
"24","PY8179","00000032","198501180950465013","2011-02-04 10:29:37","9","3.20"
"25","PY8179","00000023","198501180950465013","2010-09-06 11:59:41","13","2.30"
"26","PY8179","00000055","198501180950465013","2012-10-28 06:31:26","10","5.50"
"27","PY8179","00000028","198501180950465013","2013-07-08 10:21:32","16","2.80"
"28","PY8179","00000015","198501180950465013","2006-11-15 08:30:55","10","1.50"
"29","PY8179","00000021","198501180950465013","2006-08-18 16:21:16","10","2.10"
"30","AM3164","00000060","197704021735026235","2010-12-25 11:15:09","14","6.00"
"31","AM3164","00000051","197704021735026235","2012-12-13 19:26:34","6","5.10"
"32","AM3164","00000024","197704021735026235","1991-08-01 18:15:40","2","2.40"
"33","AM3164","00000033","197704021735026235","1993-04-15 17:38:03","12","3.30"
"34","AM3164","00000030","197704021735026235","1990-06-23 10:34:29","1","3.00"
"35","AM3164","00000032","197704021735026235","2000-06-08 20:02:34","5","3.20"
"36","AM3164","00000006","197704021735026235","1994-03-22 12:54:50","19","0.60"
"37","BE4141","00000052","197704021735026235","2001-04-07 13:42:02","15","5.20"
"38","BE4141","00000019","197704021735026235","2002-09-22 21:13:04","16","1.90"
"39","BE4141","00000016","197704021735026235","2005-12-09 19:12:06","4","1.60"
"40","BE4141","00000007","197704021735026235","2013-02-05 07:31:53","18","0.70"
